CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
1,30,Female,KL,Platinum,18,7428.88,Clothing,4/1/2023,Teacher,33,0
2,63,Male,Malacca,Silver,91,3067.03,Electronics,14/8/2023,Teacher,2,1
3,28,Female,KL,Gold,47,3118.28,Books,17/9/2023,Chef,5,0
4,70,Female,Ipoh,Platinum,32,6227.41,Electronics,10/5/2023,Engineer,44,0
5,59,Male,Ipoh,Silver,55,8385.99,Groceries,18/4/2023,Lawyer,41,0
6,34,Female,Penang,Silver,11,9832.59,Groceries,7/6/2023,Doctor,12,0
7,24,Male,KL,Gold,59,2036.27,Clothing,21/5/2023,Retired,6,1
8,39,Female,Malacca,Platinum,26,229.28,Home Goods,7/1/2023,Artist,42,0
9,48,Female,KL,Platinum,60,5165.98,Clothing,8/12/2023,Teacher,21,1
10,21,Male,Penang,Platinum,65,8927.83,Clothing,5/6/2023,Engineer,37,1
11,34,Female,JB,Gold,65,4529.69,Electronics,9/6/2023,Engineer,30,0
12,18,Male,KL,Silver,39,2468.25,Clothing,11/10/2023,Doctor,8,0
13,19,Male,KL,Platinum,12,9478.77,Electronics,13/11/2023,Doctor,3,0
14,68,Female,JB,Gold,92,4452.43,Books,20/2/2023,Engineer,37,1
15,50,Male,KL,Bronze,21,3052.98,Books,11/6/2023,Chef,32,0
16,61,Female,JB,Platinum,91,5250.53,Electronics,3/12/2023,Engineer,15,1
17,77,Female,KL,Gold,6,3621.62,Home Goods,13/10/2023,Artist,34,0
18,36,Female,JB,Platinum,85,2094.2,Home Goods,27/7/2023,Chef,38,0
19,36,Female,KL,Silver,22,9292.16,Electronics,29/10/2023,Retired,29,1
20,75,Male,JB,Silver,87,7421.45,Electronics,22/12/2023,Student,21,1
21,40,Female,Ipoh,Platinum,32,6746.72,Electronics,5/11/2023,Lawyer,17,1
22,33,Female,Penang,Platinum,88,7123.82,Home Goods,18/8/2023,Doctor,36,0
23,33,Male,Ipoh,Gold,98,7391.5,Electronics,13/11/2023,Chef,34,1
24,46,Female,Ipoh,Bronze,31,9804,Clothing,30/9/2023,Marketer,36,1
25,25,Male,Ipoh,Gold,32,361.7,Home Goods,14/10/2023,Engineer,47,0
26,45,Female,Ipoh,Platinum,29,4890.81,Home Goods,14/9/2023,Marketer,1,0
27,42,Male,JB,Silver,38,3089.16,Electronics,16/12/2023,Artist,21,0
28,75,Male,Ipoh,Gold,56,3443.12,Books,8/7/2023,Student,35,1
29,76,Male,Penang,Silver,80,8844.63,Groceries,9/3/2023,Teacher,20,0
30,42,Female,KL,Platinum,68,6514.88,Home Goods,15/9/2023,Retired,33,0
31,30,Female,JB,Bronze,66,1770.85,Groceries,12/9/2023,Artist,14,1
32,31,Female,Malacca,Silver,46,1209.39,Electronics,7/9/2023,Artist,38,0
33,36,Male,JB,Bronze,30,1140.01,Home Goods,15/5/2023,Student,16,0
34,32,Female,KL,Silver,93,5614.23,Groceries,4/10/2023,Engineer,36,0
35,32,Male,Malacca,Gold,39,7759.14,Clothing,29/4/2023,Lawyer,25,1
36,38,Female,Penang,Platinum,9,741.3,Books,12/11/2023,Artist,41,0
37,25,Male,JB,Gold,55,5449.15,Clothing,24/8/2023,Chef,13,0
38,73,Female,KL,Gold,90,6005.68,Home Goods,1/8/2023,Doctor,25,0
39,62,Female,JB,Silver,70,262.11,Home Goods,17/1/2023,Teacher,6,1
40,61,Female,Penang,Bronze,37,463.25,Books,9/3/2023,Lawyer,48,1
41,71,Male,Penang,Platinum,89,4667.85,Groceries,19/10/2023,Lawyer,46,0
42,45,Female,Penang,Silver,42,3889.17,Groceries,18/2/2023,Lawyer,44,1
43,62,Male,Penang,Silver,52,5980.71,Groceries,22/12/2023,Doctor,38,0
44,33,Female,Ipoh,Gold,86,7405.91,Groceries,30/6/2023,Engineer,39,0
45,79,Male,JB,Gold,66,774.46,Home Goods,15/9/2023,Student,42,0
46,41,Male,Penang,Silver,33,6911.07,Books,7/7/2023,Chef,47,1
47,29,Female,Penang,Bronze,51,7871.25,Books,10/8/2023,Doctor,8,1
48,31,Female,Malacca,Silver,56,7312.57,Clothing,22/8/2023,Doctor,17,1
49,47,Male,JB,Platinum,10,2164.64,Electronics,5/7/2023,Doctor,35,0
50,49,Male,KL,Silver,50,4520.29,Clothing,3/4/2023,Artist,29,0
51,64,Female,Penang,Gold,99,1814.4,Electronics,7/3/2023,Chef,18,0
52,36,Female,KL,Gold,35,8664.39,Home Goods,14/7/2023,Engineer,40,0
53,22,Male,Malacca,Bronze,1,6710.65,Clothing,28/4/2023,Lawyer,0,1
54,46,Male,Penang,Silver,86,8091.76,Books,19/12/2023,Artist,46,1
55,19,Female,JB,Gold,78,5871.57,Groceries,5/9/2023,Artist,44,0
56,67,Female,JB,Bronze,57,7008.03,Clothing,28/11/2023,Artist,4,0
57,67,Male,Penang,Bronze,33,6986.76,Electronics,28/5/2023,Engineer,37,1
58,41,Female,Penang,Bronze,72,3399.71,Clothing,5/2/2023,Lawyer,21,1
59,75,Female,JB,Platinum,22,2504.82,Electronics,28/5/2023,Engineer,30,0
60,34,Female,Penang,Bronze,63,8705.69,Groceries,3/1/2023,Chef,35,1
61,59,Female,Penang,Silver,65,8382.54,Home Goods,15/7/2023,Artist,36,0
62,44,Female,Penang,Platinum,51,7541.71,Books,16/6/2023,Engineer,4,1
63,66,Female,Ipoh,Platinum,32,7498.08,Books,10/7/2023,Retired,47,0
64,20,Male,JB,Silver,35,334.4,Books,29/1/2023,Teacher,29,1
65,65,Female,Malacca,Gold,64,4674.98,Groceries,5/3/2023,Retired,42,1
66,35,Male,KL,Gold,84,5713.72,Electronics,18/6/2023,Chef,24,0
67,38,Male,KL,Gold,61,4618.93,Home Goods,23/10/2023,Student,49,0
68,56,Female,Ipoh,Bronze,25,1980.96,Clothing,20/8/2023,Chef,39,0
69,18,Male,Penang,Silver,83,6883.94,Electronics,8/12/2023,Artist,32,1
70,24,Male,JB,Silver,1,7669.64,Home Goods,2/10/2023,Doctor,8,0
71,62,Female,JB,Platinum,54,6873.03,Electronics,17/1/2023,Artist,23,0
